500 102238 2 2597
1 343
304182847 919010633
1 2 238
3 1 861
4 1 854
2 258 695
1 6 554
1 7 30
1 8 567
9 1 413
1 10 848
1 11 436
1 12 986
1 13 446
14 1 19
141 218 214
1 16 411
1 17 928
1 18 275
1 19 902
20 1 647
1 21 216
22 1 135
1 23 72
1 24 34
25 1 6
1 26 294
1 27 160
308 110 921
29 1 956
30 1 517
1 31 737
1 32 778
1 33 11
1 34 612
1 35 414
36 1 239
1 37 781
38 1 952
39 1 348
1 40 167
1 41 76
42 1 987
43 1 638
1 44 837
45 1 770
46 1 472
47 1 160
1 48 87
1 49 103
1 50 199
1 51 477
52 1 408
1 53 847
54 1 575
1 55 978
56 1 318
1 57 489
58 1 551
1 59 728
60 1 204
61 1 785
62 1 75
1 63 117
1 64 930
65 1 838
1 66 333
1 67 724
1 68 248
69 1 309
70 1 26
1 71 80
72 1 423
1 73 228
1 74 105
75 1 109
76 1 8
77 1 48
78 1 480
79 1 448
1 80 730
81 1 591
82 1 102
1 83 226
84 1 752
85 1 599
86 1 338
275 225 952
1 88 937
313 205 997
90 1 875
91 1 102
1 92 783
93 1 383
94 1 445
95 1 295
96 1 736
97 1 795
98 1 394
99 1 327
100 1 584
101 1 85
1 102 599
1 103 650
1 104 629
105 1 965
106 1 955
107 1 362
108 1 146
1 109 894
1 110 75
1 111 60
112 1 388
1 113 937
1 114 185
1 115 691
1 116 72
1 117 376
1 118 144
1 119 756
1 120 771
1 121 67
122 1 434
123 1 697
1 124 512
125 1 406
1 126 298
1 127 318
1 128 486
1 129 265
130 1 866
1 131 151
1 132 552
1 133 367
134 1 895
135 1 16
136 1 619
137 1 575
138 1 792
1 139 411
140 1 43
141 1 111
142 1 298
143 1 790
1 144 638
145 1 324
1 146 687
147 1 706
1 148 607
149 1 586
1 150 762
1 151 989
152 1 349
153 1 698
1 154 636
1 155 57
156 1 809
1 157 887
1 158 867
1 159 763
1 160 771
1 161 680
1 162 782
163 1 813
1 164 526
1 165 850
166 1 802
167 1 164
1 168 832
169 1 147
